NAMEUNIT	OBJECTID	INSPIREID	NATCODE	CODNUT1	CODNUT2	CODNUT3	CODIGOINE	Shape__Are	Shape__Len	Tavg	mosquito.abundance	GDP.test	eip	rnott.expected	RBM	CODIMUNI	AREAOFI	AREAPOL	CODICOMAR	CODIPROV	VALIDDE	DATAALTA	CODIMUNI.1	AREAOFI.1	AREAPOL.1	CODICOMAR.1	CODIPROV.1	VALIDDE.1	DATAALTA.1	Casos2014	Casos2015	Casos2016	Casos2017	Promedio	CasosPromedio	id	ImportationRisk
Alcanar	2548	ES.IGN.SIGLIM34094343004	34094343004	ES5	ES51	ES514	43004	0.004999693088491	0.493654559521738	24.3675785064697	0.142555996867169	28491.0402277306	2.58724530134165	3.87871402687367	18296	430043	NA	46.9437	22	43	NA	201707262100	430043	NA	46.9437	22	43	NA	201707262100	0	0	0	0	0	0	17	0.000160193072596093
Alcanó	2322	ES.IGN.SIGLIM34092525010	34092525010	ES5	ES51	ES513	25010	0.002292339830725	0.207491561658914	24.7240009307861	0.0344169619060044	29637.6003482354	2.51451495857172	0.941306312158122	25055.2291090015	250100	NA	21.1876	33	25	NA	201707262100	250100	NA	21.1876	33	25	NA	201707262100	0	0	0	0	0	0	18	6.54956705123769e-05
Alcarràs	2323	ES.IGN.SIGLIM34092525011	34092525011	ES5	ES51	ES513	25011	0.012383245338736	0.613364819565623	24.0737141200474	0.0834733316417898	27062.0953241821	2.64878983695878	2.26120971089072	19705	250117	NA	114.8497	33	25	NA	201707262100	250117	NA	114.8497	33	25	NA	201707262100	0	0	0	0	0	0	19	0.00012761120409685
Alcoletge	2324	ES.IGN.SIGLIM34092525012	34092525012	ES5	ES51	ES513	25012	0.001776501588291	0.216440680158289	23.9799995422363	0.115725301102199	26504.1784114768	2.66872288197171	3.13042331850783	21709	250122	NA	16.4673	33	25	NA	201707262100	250122	NA	16.4673	33	25	NA	201707262100	0	0	0	0	0	0	20	4.35696196075475e-05
Alcover	2549	ES.IGN.SIGLIM34094343005	34094343005	ES5	ES51	ES514	43005	0.004972893195976	0.50049579351045	22.1386661529541	0.0488447306373084	22438.918530964	3.09227389233314	1.28189802672222	23019	430056	NA	46.1975	1	43	NA	201707262100	430056	NA	46.1975	1	43	NA	201707262100	0	0	0	0	0	0	21	4.62873230598168e-05
Aldover	2550	ES.IGN.SIGLIM34094343006	34094343006	ES5	ES51	ES514	43006	0.002164001225361	0.253644479364028	24.9439992904663	0.113358740016722	30506.7459637861	2.47064699284533	3.11009947240945	26288.5421148344	430069	NA	20.2063	9	43	NA	201707262100	430069	NA	20.2063	9	43	NA	201707262100	0	0	0	0	0	0	22	5.90923709232221e-05
Alella	1770	ES.IGN.SIGLIM34090808003	34090808003	ES5	ES51	ES511	8003	0.001043386824156	0.148277395414651	23.3177261352539	0.124887396408958	33052.3763160395	2.81392951155465	3.34340434418453	43633	80039	NA	9.6199	21	8	NA	201707262100	80039	NA	9.6199	21	8	NA	201707262100	0	0	0	0	0	0	23	0.000125191287035995
Alfara de Carles	2552	ES.IGN.SIGLIM34094343008	34094343008	ES5	ES51	ES514	43008	0.006840491368951	0.52626456173461	21.9624000549316	0.0481540185099294	23385.0409022767	3.13618783044069	1.25981286689461	26533.4414584287	430081	NA	63.9302	9	43	NA	201707262100	430081	NA	63.9302	9	43	NA	201707262100	0	0	0	0	0	0	24	6.85169841536895e-05
Alfarràs	2325	ES.IGN.SIGLIM34092525013	34092525013	ES5	ES51	ES513	25013	0.001221280963187	0.161863177140409	24.0040006637573	0.0657997006209634	22837.2619194601	2.66360361089869	1.78056352780184	19233	250138	NA	11304	33	25	NA	201707262100	250138	NA	11304	33	25	NA	201707262100	0	0	0	0	0	0	25	8.58310370965137e-05
Alfés	2326	ES.IGN.SIGLIM34092525014	34092525014	ES5	ES51	ES513	25014	0.003464142484154	0.304253517471266	24.6493333180745	0.0657965486563838	32688.4288779473	2.52958013533401	1.79760478665391	25294.4466535921	250143	NA	32175	33	25	NA	201707262100	250143	NA	32175	33	25	NA	201707262100	0	0	0	0	0	0	26	0
